I, [2020-06-01T06:31:19.566407 #3630]  INFO -- default-centos-7: -----> Creating <default-centos-7>...
E, [2020-06-01T06:31:19.586935 #3630] ERROR -- default-centos-7: Create failed on instance <default-centos-7>.
E, [2020-06-01T06:31:19.587018 #3630] ERROR -- default-centos-7: ------Exception-------
E, [2020-06-01T06:31:19.587043 #3630] ERROR -- default-centos-7: Class: Aws::Errors::MissingCredentialsError
E, [2020-06-01T06:31:19.587059 #3630] ERROR -- default-centos-7: Message: unable to sign request without credentials set
E, [2020-06-01T06:31:19.587073 #3630] ERROR -- default-centos-7: ----------------------
E, [2020-06-01T06:31:19.587085 #3630] ERROR -- default-centos-7: ------Backtrace-------
E, [2020-06-01T06:31:19.587097 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/signature_v4.rb:72:in `sign_request'
E, [2020-06-01T06:31:19.587109 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/signature_v4.rb:112:in `apply_signature'
E, [2020-06-01T06:31:19.587127 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/signature_v4.rb:65:in `call'
E, [2020-06-01T06:31:19.587140 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/transfer_encoding.rb:26:in `call'
E, [2020-06-01T06:31:19.587153 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/helpful_socket_errors.rb:10:in `call'
E, [2020-06-01T06:31:19.587164 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/retry_errors.rb:177:in `call'
E, [2020-06-01T06:31:19.587176 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/query/handler.rb:28:in `call'
E, [2020-06-01T06:31:19.587195 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/user_agent.rb:11:in `call'
E, [2020-06-01T06:31:19.587210 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/endpoint_pattern.rb:28:in `call'
E, [2020-06-01T06:31:19.587222 #3630] ERROR -- default-centos-7: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/aws-sdk-core-3.89.1/lib/aws-sdk-core/plugins/endpoint_discovery.rb:78:in `call'
